iter	f_val	grad_norm	x0	x1
1	179.92930338	7.82833038	-0.23569441	-0.51768624
2	179.61041520	9.05387783	-0.20744119	-0.49364268
3	179.28893833	10.16504845	-0.18215108	-0.47297904
4	178.96219532	11.20419609	-0.15911732	-0.45431320
5	178.62939173	12.18547963	-0.13780650	-0.43699089
6	178.29019102	13.11871498	-0.11784154	-0.42064240
7	177.94440620	14.01153628	-0.09895288	-0.40503536
8	177.59191301	14.86997801	-0.08094298	-0.39001290
9	177.23262012	15.69884886	-0.06366332	-0.37546352
10	176.86645690	16.50201585	-0.04699964	-0.36130486
11	176.49336758	17.28262000	-0.03086221	-0.34747421
12	176.11330799	18.04323824	-0.01517928	-0.33392269
13	175.72624354	18.78600505	0.00010738	-0.32061138
14	175.33214777	19.51270411	0.01504568	-0.30750887
15	174.93100132	20.22483809	0.02967553	-0.29458935
16	174.52279107	20.92368225	0.04403047	-0.28183146
17	174.10750951	21.61032609	0.05813902	-0.26921727
18	173.68515412	22.28570598	0.07202555	-0.25673162
19	173.25572694	22.95063104	0.08571111	-0.24436160
20	172.81923414	23.60580384	0.09921396	-0.23209612
21	172.37568565	24.25183710	0.11255005	-0.21992560
22	171.92509485	24.88926731	0.12573338	-0.20784171
23	171.46747831	25.51856584	0.13877632	-0.19583720
24	171.00285549	26.14014823	0.15168982	-0.18390568
25	170.53124855	26.75438176	0.16448364	-0.17204153
26	170.05268216	27.36159198	0.17716649	-0.16023978
27	169.56718327	27.96206801	0.18974621	-0.14849602
28	169.07478097	28.55606721	0.20222984	-0.13680629
29	168.57550635	29.14381903	0.21462372	-0.12516709
30	168.06939233	29.72552832	0.22693361	-0.11357524
31	167.55647358	30.30137825	0.23916475	-0.10202791
32	167.03678635	30.87153275	0.25132189	-0.09052251
33	166.51036840	31.43613863	0.26340937	-0.07905674
34	165.97725890	31.99532748	0.27543116	-0.06762847
35	165.43749833	32.54921725	0.28739091	-0.05623578
36	164.89112840	33.09791371	0.29929195	-0.04487693
37	164.33819200	33.64151164	0.31113738	-0.03355031
38	163.77873311	34.18009599	0.32293003	-0.02225446
39	163.21279672	34.71374281	0.33467251	-0.01098801
40	162.64042881	35.24252009	0.34636727	0.00025025
41	162.06167629	35.76648858	0.35801654	0.01146150
42	161.47658693	36.28570241	0.36962243	0.02264676
43	160.88520934	36.80020970	0.38118686	0.03380704
44	160.28759290	37.31005313	0.39271166	0.04494324
45	159.68378777	37.81527038	0.40419851	0.05605621
46	159.07384481	38.31589462	0.41564898	0.06714672
47	158.45781558	38.81195481	0.42706455	0.07821552
48	157.83575228	39.30347615	0.43844660	0.08926329
49	157.20770776	39.79048032	0.44979642	0.10029067
50	156.57373549	40.27298579	0.46111523	0.11129827
51	155.93388949	40.75100809	0.47240416	0.12228665
52	155.28822438	41.22456004	0.48366428	0.13325633
53	154.63679533	41.69365193	0.49489662	0.14420783
54	153.97965803	42.15829176	0.50610211	0.15514161
55	153.31686870	42.61848539	0.51728166	0.16605811
56	152.64848404	43.07423669	0.52843611	0.17695776
57	151.97456128	43.52554773	0.53956627	0.18784096
58	151.29515810	43.97241884	0.55067290	0.19870807
59	150.61033267	44.41484883	0.56175670	0.20955946
60	149.92014360	44.85283500	0.57281838	0.22039546
61	149.22464996	45.28637332	0.58385856	0.23121640
62	148.52391128	45.71545849	0.59487787	0.24202258
63	147.81798750	46.14008404	0.60587688	0.25281429
64	147.10693900	46.56024240	0.61685615	0.26359181
65	146.39082660	46.97592497	0.62781621	0.27435541
66	145.66971151	47.38712222	0.63875755	0.28510533
67	144.94365538	47.79382371	0.64968066	0.29584182
68	144.21272023	48.19601818	0.66058599	0.30656510
69	143.47696853	48.59369360	0.67147398	0.31727540
70	142.73646313	48.98683721	0.68234503	0.32797292
71	141.99126726	49.37543556	0.69319955	0.33865787
72	141.24144457	49.75947459	0.70403791	0.34933043
73	140.48705909	50.13893963	0.71486048	0.35999080
74	139.72817524	50.51381546	0.72566760	0.37063914
75	138.96485781	50.88408635	0.73645960	0.38127562
76	138.19717199	51.24973607	0.74723680	0.39190041
77	137.42518335	51.61074795	0.75799951	0.40251366
78	136.64895783	51.96710487	0.76874801	0.41311552
79	135.86856176	52.31878935	0.77948258	0.42370613
80	135.08406182	52.66578350	0.79020350	0.43428563
