iter	f_val	grad_norm	x0	x1
1	0.42261858	2.16697069	0.45948953	1.63879783
2	0.15214269	1.30018242	0.67569372	1.78327870
3	0.05477137	0.78010945	0.80541623	1.86996722
4	0.01971769	0.46806567	0.88324974	1.92198033
5	0.00709837	0.28083940	0.92994984	1.95318820
6	0.00255541	0.16850364	0.95796991	1.97191292
7	0.00091995	0.10110218	0.97478194	1.98314775
8	0.00033118	0.06066131	0.98486917	1.98988865
9	0.00011923	0.03639679	0.99092150	1.99393319
10	0.00004292	0.02183807	0.99455290	1.99635991
11	0.00001545	0.01310284	0.99673174	1.99781595
12	0.00000556	0.00786171	0.99803904	1.99868957
13	0.00000200	0.00471702	0.99882343	1.99921374
14	0.00000072	0.00283021	0.99929406	1.99952824
15	0.00000026	0.00169813	0.99957643	1.99971695
16	0.00000009	0.00101888	0.99974586	1.99983017
17	0.00000003	0.00061133	0.99984752	1.99989810
18	0.00000001	0.00036680	0.99990851	1.99993886
19	0.00000000	0.00022008	0.99994511	1.99996332
20	0.00000000	0.00013205	0.99996706	1.99997799
21	0.00000000	0.00007923	0.99998024	1.99998679
22	0.00000000	0.00004754	0.99998814	1.99999208
23	0.00000000	0.00002852	0.99999289	1.99999525
24	0.00000000	0.00001711	0.99999573	1.99999715
25	0.00000000	0.00001027	0.99999744	1.99999829
26	0.00000000	0.00000616	0.99999846	1.99999897
27	0.00000000	0.00000370	0.99999908	1.99999938
28	0.00000000	0.00000222	0.99999945	1.99999963
29	0.00000000	0.00000133	0.99999967	1.99999978
30	0.00000000	0.00000080	0.99999980	1.99999987
31	0.00000000	0.00000048	0.99999988	1.99999992
32	0.00000000	0.00000029	0.99999993	1.99999995
33	0.00000000	0.00000017	0.99999996	1.99999997
34	0.00000000	0.00000010	0.99999997	1.99999998
35	0.00000000	0.00000006	0.99999998	1.99999999
36	0.00000000	0.00000004	0.99999999	1.99999999
37	0.00000000	0.00000002	0.99999999	2.00000000
38	0.00000000	0.00000001	1.00000000	2.00000000
39	0.00000000	0.00000001	1.00000000	2.00000000
