iter	f_val	grad_norm	x0	x1
1	23.74891669	121.59245840	-0.29925138	0.55924131
2	13.40753796	108.16579794	-0.35126625	0.46370574
3	4.79898603	81.65751211	-0.42063680	0.34369194
4	2.30830708	41.81116362	-0.49567845	0.21900386
5	6.55607179	9.85513456	-0.55907401	0.10945392
6	12.71832506	63.29477655	-0.59186025	0.03116996
7	14.48102829	101.35584047	-0.58200009	-0.00737276
8	10.73659985	108.64130286	-0.53125828	-0.00745151
9	5.49821657	86.79132197	-0.45327967	0.02144630
10	2.31662531	51.67256697	-0.36496349	0.06585595
11	1.75611373	18.41676079	-0.27919846	0.11255887
12	2.65768427	7.04364621	-0.20266319	0.15113079
13	3.72832495	22.95604824	-0.13703974	0.17483967
14	4.19611946	31.83756628	-0.08111887	0.18057169
15	3.86414921	34.97219410	-0.03253176	0.16833137
16	2.95084620	33.45479644	0.01114083	0.14058777
17	1.87719037	28.21312810	0.05174799	0.10157217
18	1.06207204	20.16816506	0.09026621	0.05656869
19	0.76496044	10.32044387	0.12671649	0.01122350
20	1.00534876	1.78584666	0.16027252	-0.02910382
21	1.57555880	11.11049245	0.18955638	-0.05991930
22	2.14383320	19.98454498	0.21308847	-0.07806814
23	2.41191506	26.26698795	0.22979204	-0.08205461
24	2.25470529	29.07434386	0.23939756	-0.07215653
25	1.76520239	28.08511901	0.24260428	-0.05030149
26	1.18102884	23.64389796	0.24095127	-0.01971612
27	0.74563954	16.66382992	0.23647468	0.01558807
28	0.59134027	8.38464335	0.23130176	0.05139507
29	0.70045651	1.40708547	0.22731744	0.08383191
30	0.94426617	7.83219783	0.22596627	0.10980920
31	1.16193523	13.60474868	0.22817929	0.12731391
32	1.23598956	17.24086272	0.23437684	0.13554334
33	1.13491841	18.50746969	0.24449892	0.13488875
34	0.91297981	17.43830686	0.25803711	0.12678871
35	0.67414927	14.29153820	0.27407050	0.11347812
36	0.51857112	9.53301850	0.29132934	0.09766224
37	0.49509297	3.87267758	0.30831615	0.08214900
38	0.58137423	2.59039541	0.32349990	0.06947807
39	0.70170415	7.72782804	0.33556602	0.06159165
40	0.77313204	11.59937546	0.34366631	0.05959516
41	0.75248053	13.49983032	0.34759123	0.06364945
42	0.65528942	13.22418699	0.34780170	0.07301534
43	0.53750733	10.98955945	0.34530785	0.08623971
44	0.45662220	7.35568861	0.34143920	0.10144142
45	0.43951308	3.11949639	0.33758214	0.11663689
46	0.47415304	1.76892868	0.33495383	0.13004529
47	0.52402001	5.15738755	0.33444926	0.14032774
48	0.55209421	7.67101663	0.33656515	0.14673479
49	0.54012455	8.87599046	0.34138509	0.14915527
50	0.49477400	8.70853578	0.34860826	0.14807255
51	0.44007939	7.29575004	0.35761127	0.14444363
52	0.40197244	4.93081174	0.36754061	0.13952181
53	0.39368453	2.11236041	0.37743553	0.13464860
54	0.40981128	1.56319688	0.38637405	0.13104362
55	0.43178142	3.98045770	0.39362276	0.12962326
56	0.44063637	5.77283956	0.39876001	0.13087649
57	0.42855378	6.51528966	0.40174110	0.13481771
58	0.40189257	6.14073339	0.40288684	0.14102263
59	0.37490249	4.81104911	0.40279920	0.14873657
60	0.35959396	2.87517659	0.40222912	0.15703018
61	0.35885726	1.04425984	0.40193105	0.16497024
62	0.36644810	1.87555322	0.40253591	0.17177413
63	0.37244631	3.38057761	0.40446180	0.17692373
64	0.36984971	4.28063535	0.40786930	0.18022493
65	0.35824341	4.42405662	0.41265940	0.18180925
66	0.34293937	3.84374450	0.41850872	0.18208300
67	0.33081352	2.70598017	0.42493495	0.18163602
68	0.32578925	1.34834793	0.43138424	0.18112712
69	0.32678144	1.03189349	0.43732883	0.18116562
70	0.32911331	2.11718455	0.44235903	0.18220937
71	0.32808405	2.97810381	0.44625194	0.18449595
72	0.32205282	3.29374492	0.44900225	0.18801836
